Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science And Technology,0.88665,0.608582,6,0.88665,0.608582,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Science Experiments, Bath Fizzler",0.904368,0.587032,2,0.904368,0.587032,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Science Experiments, Red Cabbage",0.924898,0.695787,4,0.924898,0.695787,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/Animal Behavior,0.886298,0.645676,4,0.886298,0.645676,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/Applied Ecology,0.870206,0.435437,2,0.870206,0.435437,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/First Aid,0.87767,0.402551,2,0.87767,0.402551,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/General Biology,0.882708,0.531654,4,0.882708,0.531654,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/Nature Of Science,0.93489,0.657809,2,0.93489,0.657809,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/Parasitic Insects,0.783,0.572386,2,0.783,0.572386,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science/Sexual Health,0.943609,0.799047,2,0.943609,0.799047,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Seven Wonders Of The World/Pyramid At Giza,0.894706,0.609374,2,0.894706,0.609374,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Shopping,0.871079,0.487195,2,0.871079,0.487195,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sociology/Agriculture,0.902736,0.681342,2,0.902736,0.681342,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sociology/Culture,0.87938,0.361849,2,0.87938,0.361849,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sociology/Socialization,0.852219,0.695873,2,0.852219,0.695873,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Solar_System/Moon,0.945784,0.795981,2,0.945784,0.795981,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Solar_System/Solar_System,0.91974,0.64462,2,0.91974,0.64462,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sports,0.856729,0.620724,24,0.856729,0.620724,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Sports, Horse Riding",0.836067,0.247503,2,0.836067,0.247503,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,The_Cold_War/Introduction,0.898359,0.589304,4,0.898359,0.589304,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,The_Elements/Mixtures,0.901274,0.762803,2,0.901274,0.762803,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,The_Elements/Overview,0.800393,0.633901,2,0.800393,0.633901,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Transport/History,0.917053,0.76723,2,0.917053,0.76723,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Travel,0.902088,0.582659,62,0.902088,0.582659,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Accomodation",0.858758,0.464055,2,0.858758,0.464055,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Art",0.906081,0.692087,2,0.906081,0.692087,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Climate",0.934306,0.717556,4,0.934306,0.717556,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
