Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Llama 3 8B,Fp8,All,Is_Long_Sentence,565,35,0.871542,0.855052,0.532391,0.59736,0.016491,-0.064968,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.87058,0.536181,0.869891,0.538079,-0.00069,0.001898,-0.000453,-0.004506,0.002326,-0.005009,-0.004052,-0.007335,-0.004052,-0.007335
Llama 3 8B,Fp8 Per Tensor,All,Has_Rare_Words,224,376,0.876944,0.864216,0.509749,0.551231,0.012728,-0.041482,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.868968,0.535744,0.869891,0.538079,0.000923,0.002335,0.000394,0.001239,0.003478,0.001654,0.000845,-0.001825,0.000845,-0.001825
Llama 3 8B,Fp8 Per Tensor,All,High_Morphology,450,150,0.866936,0.875062,0.529666,0.553978,-0.008126,-0.024312,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.868968,0.535744,0.869891,0.538079,0.000923,0.002335,0.000517,0.002143,0.003113,0.0,0.001626,-0.003113,0.001626,-0.003113
Llama 3 8B,Fp8 Per Tensor,All,Is_Long_Sentence,565,35,0.869637,0.858154,0.531745,0.600301,0.011484,-0.068556,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.868968,0.535744,0.869891,0.538079,0.000923,0.002335,0.001452,-0.007608,0.002972,-0.007951,-0.009059,-0.010923,-0.009059,-0.010923
Llama 3 8B,Full Model,All,Has_Rare_Words,224,376,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.869891,0.538079,0.869891,0.538079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Full Model,All,High_Morphology,450,150,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.869891,0.538079,0.869891,0.538079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Full Model,All,Is_Long_Sentence,565,35,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.869891,0.538079,0.869891,0.538079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,All,Has_Rare_Words,224,376,0.338587,0.35826,0.05228,0.099672,-0.019674,-0.047392,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.350915,0.081979,0.869891,0.538079,0.518976,0.4561,0.538751,0.507194,0.460947,0.453212,-0.031557,-0.007734,-0.031557,-0.007734
Llama 3 8B,Int2 Batch16,All,High_Morphology,450,150,0.34687,0.36305,0.082724,0.079746,-0.01618,0.002978,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.350915,0.081979,0.869891,0.538079,0.518976,0.4561,0.520582,0.514155,0.450056,0.474233,-0.006428,0.024177,-0.006428,0.024177
Llama 3 8B,Int2 Batch16,All,Is_Long_Sentence,565,35,0.351462,0.342095,0.080714,0.102401,0.009367,-0.021687,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.350915,0.081979,0.869891,0.538079,0.518976,0.4561,0.519628,0.508451,0.454003,0.489949,-0.011177,0.035946,-0.011177,0.035946
Llama 3 8B,Int4,All,Has_Rare_Words,224,376,0.871396,0.856663,0.50011,0.540564,0.014733,-0.040454,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.862163,0.525462,0.869891,0.538079,0.007728,0.012618,0.005942,0.008792,0.013117,0.01232,0.00285,-0.000797,0.00285,-0.000797
Llama 3 8B,Int4,All,High_Morphology,450,150,0.86067,0.866642,0.520524,0.540274,-0.005972,-0.01975,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.862163,0.525462,0.869891,0.538079,0.007728,0.012618,0.006783,0.010563,0.012255,0.013705,0.00378,0.001449,0.00378,0.001449
Llama 3 8B,Int4,All,Is_Long_Sentence,565,35,0.862904,0.850198,0.521424,0.590643,0.012706,-0.069219,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.862163,0.525462,0.869891,0.538079,0.007728,0.012618,0.008185,0.000348,0.013293,0.001707,-0.007837,-0.011586,-0.007837,-0.011586
Llama 3 8B,Int4 AWQ,All,Has_Rare_Words,224,376,0.869375,0.858707,0.502457,0.54097,0.010668,-0.038512,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.86269,0.526592,0.869891,0.538079,0.007201,0.011487,0.007963,0.006748,0.01077,0.011915,-0.001215,0.001145,-0.001215,0.001145
Llama 3 8B,Int4 AWQ,All,High_Morphology,450,150,0.860658,0.868785,0.52024,0.545648,-0.008127,-0.025408,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.86269,0.526592,0.869891,0.538079,0.007201,0.011487,0.006795,0.00842,0.01254,0.00833,0.001625,-0.00421,0.001625,-0.00421
Llama 3 8B,Int4 AWQ,All,Is_Long_Sentence,565,35,0.863565,0.848551,0.523314,0.579511,0.015014,-0.056198,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.86269,0.526592,0.869891,0.538079,0.007201,0.011487,0.007524,0.001995,0.011404,0.012839,-0.005529,0.001435,-0.005529,0.001435
Llama 3 8B,Int8,All,Has_Rare_Words,224,376,0.874554,0.865308,0.509155,0.552158,0.009246,-0.043003,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.86876,0.536103,0.869891,0.538079,0.001131,0.001976,0.002784,0.000146,0.004073,0.000727,-0.002637,-0.003346,-0.002637,-0.003346
Llama 3 8B,Int8,All,High_Morphology,450,150,0.866855,0.874473,0.530221,0.55375,-0.007618,-0.02353,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.86876,0.536103,0.869891,0.538079,0.001131,0.001976,0.000597,0.002731,0.002559,0.000228,0.002134,-0.002331,0.002134,-0.002331
Llama 3 8B,Int8,All,Is_Long_Sentence,565,35,0.870077,0.847501,0.532278,0.59786,0.022576,-0.065583,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.86876,0.536103,0.869891,0.538079,0.001131,0.001976,0.001012,0.003045,0.00244,-0.00551,0.002033,-0.00795,0.002033,-0.00795
Llama 3 8B,Int8 A8W8,All,Has_Rare_Words,224,376,0.877818,0.864466,0.513683,0.547509,0.013351,-0.033826,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.869451,0.53488,0.869891,0.538079,0.00044,0.003199,-0.00048,0.000988,-0.000455,0.005376,0.001468,0.005831,0.001468,0.005831
Llama 3 8B,Int8 A8W8,All,High_Morphology,450,150,0.867551,0.875149,0.529257,0.551749,-0.007597,-0.022492,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.869451,0.53488,0.869891,0.538079,0.00044,0.003199,-9.8e-05,0.002056,0.003522,0.002229,0.002155,-0.001293,0.002155,-0.001293
Llama 3 8B,Int8 A8W8,All,Is_Long_Sentence,565,35,0.870623,0.850532,0.531113,0.595687,0.02009,-0.064573,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.869451,0.53488,0.869891,0.538079,0.00044,0.003199,0.000467,1.4e-05,0.003604,-0.003337,-0.000453,-0.006941,-0.000453,-0.006941
Llama 3 8B,Int8 Bookends,All,Has_Rare_Words,224,376,0.879777,0.862533,0.517718,0.548081,0.017243,-0.030363,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.868971,0.536745,0.869891,0.538079,0.00092,0.001334,-0.002439,0.002921,-0.00449,0.004804,0.00536,0.009294,0.00536,0.009294
Llama 3 8B,Int8 Bookends,All,High_Morphology,450,150,0.867176,0.874354,0.531786,0.551623,-0.007178,-0.019837,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.868971,0.536745,0.869891,0.538079,0.00092,0.001334,0.000277,0.002851,0.000993,0.002356,0.002574,0.001362,0.002574,0.001362
Llama 3 8B,Int8 Bookends,All,Is_Long_Sentence,565,35,0.870343,0.846822,0.533292,0.592492,0.023521,-0.059201,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.868971,0.536745,0.869891,0.538079,0.00092,0.001334,0.000746,0.003724,0.001425,-0.000142,0.002978,-0.001568,0.002978,-0.001568
