Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Llama 3 8B,4bit Optimized GPTQ,2,0.8619,0.8548,0.8584,10.2695,8.5735,5.45,5.48
Llama 3 8B,4bit Optimized GPTQ,3,0.8519,0.852,0.8519,10.7243,8.2473,5.46,5.48
Llama 3 8B,Int2 Batch16,1,0.4166,0.3043,0.3604,10.2205,4.4192,5.2,5.63
Llama 3 8B,Int2 Batch16,2,0.4143,0.3022,0.3583,9.2293,4.0454,5.41,5.63
Llama 3 8B,Int2 Batch16,3,0.4128,0.304,0.3584,11.1873,4.5144,5.43,5.63
Llama 3 8B,Int4,1,0.8695,0.8638,0.8667,9.9371,8.1381,5.3,5.48
Llama 3 8B,Int4,2,0.8686,0.8609,0.8647,8.6854,8.1144,6.02,5.48
Llama 3 8B,Int4,3,0.8607,0.8495,0.8551,9.8162,8.3729,6.06,5.48
Llama 3 8B,Int8,1,0.8763,0.8791,0.8777,8.3679,8.7324,6.27,8.61
Llama 3 8B,Int8,2,0.8706,0.8663,0.8685,8.7091,8.9951,7.01,8.61
Llama 3 8B,Int8,3,0.8629,0.8574,0.8601,9.2266,8.5117,7.05,8.61
Llama 3 8B,Int8 A8W8,1,0.8723,0.8819,0.8771,8.5739,9.3876,5.3,8.61
Llama 3 8B,Int8 A8W8,2,0.8713,0.8716,0.8715,8.5285,9.8451,5.38,8.61
Llama 3 8B,Int8 A8W8,3,0.8612,0.8583,0.8598,9.7823,9.2799,5.44,8.61
Llama 3 8B,4bit K-Means,1,0.757,0.7072,0.7321,8.4446,7.6684,5.29,5.21
Llama 3 8B,4bit K-Means,2,0.7477,0.7043,0.726,8.9648,7.9276,6.01,5.21
Llama 3 8B,4bit K-Means,3,0.7439,0.6967,0.7203,8.625,7.7225,6.05,5.21
Llama 3 8B,Nf4,1,0.8699,0.8675,0.8687,7.9439,8.4371,5.28,5.31
Llama 3 8B,Nf4,2,0.871,0.8559,0.8634,8.7094,8.5219,5.47,5.31
Llama 3 8B,Nf4,3,0.855,0.8545,0.8547,8.1412,7.9844,5.48,5.31
Llama 3 8B,4bit Omniquant,1,0.841,0.8345,0.8378,11.5189,9.6368,6.37,5.44
Llama 3 8B,4bit Omniquant,2,0.8508,0.8385,0.8446,10.7094,9.8918,6.57,5.44
Llama 3 8B,4bit Omniquant,3,0.8393,0.8301,0.8347,12.9521,9.6596,6.59,5.44
Llama 3 8B,4bit Spinquant,1,0.3452,0.2211,0.2831,39.2746,35.7269,6.31,10.43
Llama 3 8B,4bit Spinquant,2,0.3359,0.2256,0.2808,38.3223,34.591,6.52,10.43
Llama 3 8B,4bit Spinquant,3,0.3452,0.2156,0.2804,38.3676,36.1384,6.54,10.43
Llama 3 8B,2bit 5% Spqr,1,0.3666,0.3978,0.3822,26.3226,4.8299,5.3,5.81
Llama 3 8B,2bit 5% Spqr,2,0.3392,0.3563,0.3478,29.5187,6.5384,6,5.81
Llama 3 8B,2bit 5% Spqr,3,0.3422,0.3785,0.3604,28.7743,6.2684,6.03,5.81
Llama 3 8B,2bit 10% Fast Spqr,1,0.6673,0.5064,0.5868,34.4347,23.545,5.82,7.75
Llama 3 8B,2bit 10% Fast Spqr,2,0.6842,0.5066,0.5954,29.866,20.6151,6.41,7.75
Llama 3 8B,2bit 10% Fast Spqr,3,0.6849,0.4933,0.5891,30.6861,21.899,6.46,7.75
Llama 3 8B,Analytical Net Mngr 5GB,1,0.4747,0.3929,0.4338,9.0946,6.0393,5.27,4.79
Llama 3 8B,Analytical Net Mngr 5GB,2,0.4738,0.3888,0.4313,8.0107,6.1896,5.45,4.79
Llama 3 8B,Analytical Net Mngr 5GB,3,0.4647,0.4049,0.4348,8.6954,5.594,5.46,4.79
Llama 3 8B,Empirical Net Mngr 5.5GB,1,0.7867,0.8235,0.8051,9.3651,10.0036,5.3,5.28
Llama 3 8B,Empirical Net Mngr 5.5GB,2,0.7737,0.8218,0.7978,10.2335,10.5217,5.81,5.28
