Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Llama 3 8B,Int4 AWQ,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,69.35483870967742,74.19354838709677,4.838709677419345,30.64516129032258,25.806451612903224,4.838709677419355,8.333333333333334,7.0,1.3333333333333333
Llama 3 8B,Int4 AWQ,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,82.5503355704698,83.22147651006712,0.671140939597322,17.449664429530202,16.778523489932887,0.6711409395973155,7.333333333333333,7.333333333333333,0.0
Llama 3 8B,Int4 AWQ,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,69.42909760589319,72.00736648250461,2.5782688766114177,30.570902394106813,27.992633517495396,2.578268876611418,50.666666666666664,45.0,5.666666666666667
Llama 3 8B,Int4 AWQ,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,27.0,Low support,percentage-point violation rate,0.0,3.4482758620689653,-3.4482758620689653,,,,,,
Llama 3 8B,Int4 AWQ,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,145.0,Adequate support,percentage-point violation rate,1.3793103448275863,1.3333333333333333,0.04597701149425304,,,,,,
Llama 3 8B,Int4 AWQ,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,110.0,Adequate support,percentage-point violation rate,1.7699115044247788,1.8181818181818181,-0.048270313757039274,,,,,,
Llama 3 8B,Int4 AWQ,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,52.333333333333336,53.0,-0.6666666666666643,13.729977116704806,14.187643020594965,-0.4576659038901596,32.333333333333336,32.333333333333336,0.0
Llama 3 8B,Int4 AWQ,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,79.33333333333333,78.66666666666667,0.6666666666666572,7.7272727272727275,9.318181818181818,-1.5909090909090908,68.0,65.0,3.0
Llama 3 8B,Int4 AWQ,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,20.333333333333332,20.0,0.33333333333333215,30.275229357798164,30.275229357798164,0.0,9.333333333333334,9.0,0.3333333333333339
Llama 3 8B,Int4 AWQ,Structural realisation,modal_auxiliaries,Modal auxiliaries,300,77.0,Adequate support,divergences per 100 sentences,12.333333333333334,11.0,1.333333333333334,28.571428571428573,25.974025974025974,2.597402597402599,5.0,4.333333333333333,0.666666666666667
Llama 3 8B,Int4 AWQ,Structural realisation,of_genitives,Of-genitive constructions,300,193.0,Adequate support,divergences per 100 sentences,49.333333333333336,49.0,0.3333333333333357,21.243523316062177,22.27979274611399,-1.0362694300518136,35.666666666666664,34.666666666666664,1.0
Llama 3 8B,Int4 AWQ,Structural realisation,participles,Participles,300,356.0,Adequate support,divergences per 100 sentences,57.666666666666664,62.0,-4.333333333333336,25.84269662921348,30.0561797752809,-4.213483146067418,27.0,26.333333333333332,0.6666666666666679
Llama 3 8B,Int4 AWQ,Structural realisation,passive_constructions,Passive constructions,300,107.0,Adequate support,divergences per 100 sentences,24.0,23.0,1.0,29.906542056074766,31.77570093457944,-1.869158878504674,13.333333333333334,11.666666666666666,1.6666666666666679
Llama 3 8B,Int4 AWQ,Structural realisation,possessive_nominals,Possessive nominals,300,110.0,Adequate support,divergences per 100 sentences,25.666666666666668,25.333333333333332,0.3333333333333357,35.45454545454545,31.818181818181817,3.6363636363636367,12.666666666666666,13.666666666666666,-1.0
Llama 3 8B,Int4 AWQ,Structural realisation,prepositions,Prepositions,300,756.0,Adequate support,divergences per 100 sentences,97.33333333333333,93.0,4.333333333333329,10.846560846560847,10.714285714285714,0.132275132275133,70.0,66.0,4.0
Llama 3 8B,Int4 AWQ,Structural realisation,relative_clauses,Relative clauses,300,83.0,Adequate support,divergences per 100 sentences,27.333333333333332,26.666666666666668,0.6666666666666643,30.120481927710845,31.325301204819276,-1.204819277108431,19.0,18.0,1.0
Llama 3 8B,Int4 AWQ,Structural realisation,relative_markers,Relative markers,300,102.0,Adequate support,divergences per 100 sentences,27.666666666666668,28.333333333333332,-0.6666666666666643,12.745098039215685,16.666666666666668,-3.9215686274509824,23.333333333333332,22.666666666666668,0.6666666666666643
Llama 3 8B,Int4 AWQ,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,119.0,Adequate support,divergences per 100 sentences,21.333333333333332,21.333333333333332,0.0,15.126050420168067,15.126050420168067,0.0,15.333333333333334,15.333333333333334,0.0
Llama 3 8B,Int8,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,59.68688845401174,60.46966731898239,0.7827788649706449,40.31311154598826,39.53033268101761,0.7827788649706457,62.333333333333336,57.333333333333336,5.0
Llama 3 8B,Int8,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,72.58064516129032,74.19354838709677,1.6129032258064484,27.419354838709676,25.806451612903224,1.6129032258064515,8.0,7.0,1.0
Llama 3 8B,Int8,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,81.87919463087249,83.22147651006712,1.3422818791946298,18.120805369127517,16.778523489932887,1.342281879194631,8.333333333333334,7.333333333333333,1.0
Llama 3 8B,Int8,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,71.6390423572744,72.00736648250461,0.3683241252302025,28.360957642725598,27.992633517495396,0.3683241252302026,49.333333333333336,45.0,4.333333333333333
Llama 3 8B,Int8,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,27.0,Low support,percentage-point violation rate,0.0,3.4482758620689653,-3.4482758620689653,,,,,,
Llama 3 8B,Int8,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,150.0,Adequate support,percentage-point violation rate,1.3157894736842106,1.3333333333333333,-0.01754385964912264,,,,,,
Llama 3 8B,Int8,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,110.0,Adequate support,percentage-point violation rate,1.694915254237288,1.8181818181818181,-0.12326656394453006,,,,,,
Llama 3 8B,Int8,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,53.333333333333336,53.0,0.3333333333333357,13.272311212814646,14.187643020594965,-0.9153318077803192,34.0,32.333333333333336,1.6666666666666643
Llama 3 8B,Int8,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,88.0,78.66666666666667,9.333333333333329,8.409090909090908,9.318181818181818,-0.9090909090909101,75.66666666666667,65.0,10.666666666666671
Llama 3 8B,Int8,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,20.0,20.0,0.0,28.440366972477065,30.275229357798164,-1.8348623853210988,9.666666666666666,9.0,0.6666666666666661
