Base_Model,Quantization,Direction,Metric,Paired_Sentences,Excess_Mean,CI95_Lower,CI95_Upper
Llama 3 8B,4bit Spinquant,GR-EN,Omission_Risk,300,-0.004772352192089575,-0.008084870817313863,-0.001663659276804377
Llama 3 8B,4bit Spinquant,GR-EN,Expanded_Hallucination_Risk,300,0.0001556814935385713,-0.0022647489770739704,0.0024314634632617385
Llama 3 8B,4bit Spinquant,GR-EN,Expanded_Omission_Risk,300,-0.0013829281244887059,-0.0045408281313019695,0.001636176823673422
Llama 3 8B,4bit Static GPTQ,GR-EN,Hallucination_Risk,300,0.004883565577393174,0.0017100761382079694,0.008061237119890824
Llama 3 8B,4bit Static GPTQ,GR-EN,Omission_Risk,300,-0.003236352182109743,-0.0064940022039850125,3.454297808533341e-05
Llama 3 8B,4bit Static GPTQ,GR-EN,Expanded_Hallucination_Risk,300,0.004678783718271921,0.0018410756739305149,0.007482269856107608
Llama 3 8B,4bit Static GPTQ,GR-EN,Expanded_Omission_Risk,300,-0.0014540460870104887,-0.004105644845577805,0.0010153808074608278
Llama 3 8B,4bit True GPTQ,GR-EN,Hallucination_Risk,300,0.003980877098715046,0.0004916694195452364,0.0075624379701951325
Llama 3 8B,4bit True GPTQ,GR-EN,Omission_Risk,300,0.0014701211540886095,-0.003906083062623917,0.009090401291121982
Llama 3 8B,4bit True GPTQ,GR-EN,Expanded_Hallucination_Risk,300,0.005073048136944842,0.002379119776773192,0.008326207288495957
Llama 3 8B,4bit True GPTQ,GR-EN,Expanded_Omission_Risk,300,0.0038498979269509944,-0.00038906854685324786,0.008707773160267933
Llama 3 8B,Analytical Net Mngr 5GB,GR-EN,Hallucination_Risk,300,0.25303019892875517,0.2382551867808561,0.2660925769114349
Llama 3 8B,Analytical Net Mngr 5GB,GR-EN,Omission_Risk,300,0.1400148209116385,0.1294631518138725,0.15196515192360788
Llama 3 8B,Analytical Net Mngr 5GB,GR-EN,Expanded_Hallucination_Risk,300,0.1984462869444683,0.1854237575936622,0.2105170112121089
Llama 3 8B,Analytical Net Mngr 5GB,GR-EN,Expanded_Omission_Risk,300,0.10473859692109003,0.09599689089612129,0.11397077857917558
Llama 3 8B,Empirical Net Mngr 5.5GB,GR-EN,Hallucination_Risk,300,0.08711843465753615,0.07540155899247768,0.09806920889844306
Llama 3 8B,Empirical Net Mngr 5.5GB,GR-EN,Omission_Risk,300,0.011894711534304197,0.004590609983997852,0.020873054623561087
Llama 3 8B,Empirical Net Mngr 5.5GB,GR-EN,Expanded_Hallucination_Risk,300,0.06610691864633533,0.05816210784493979,0.074635018118707
Llama 3 8B,Empirical Net Mngr 5.5GB,GR-EN,Expanded_Omission_Risk,300,0.013467514672718318,0.008069192902668876,0.020517961903016347
Llama 3 8B,Fp4,GR-EN,Hallucination_Risk,300,0.01194638975079011,0.00662776336603477,0.016944198151624842
Llama 3 8B,Fp4,GR-EN,Omission_Risk,300,-0.0017978610379838506,-0.007358295481713927,0.005588633483913152
Llama 3 8B,Fp4,GR-EN,Expanded_Hallucination_Risk,300,0.009864652586617575,0.005110862999433665,0.014242313451047798
Llama 3 8B,Fp4,GR-EN,Expanded_Omission_Risk,300,0.0002724178270408737,-0.004339963767076623,0.005566253183170767
Llama 3 8B,Fp4 AWQ,GR-EN,Hallucination_Risk,300,0.01486760054816644,0.009670471802235372,0.020472987980508624
Llama 3 8B,Fp4 AWQ,GR-EN,Omission_Risk,300,-0.0094356370888552,-0.012865304885598672,-0.005996196507296768
Llama 3 8B,Fp4 AWQ,GR-EN,Expanded_Hallucination_Risk,300,0.014091706105231853,0.00919683991690868,0.019333411510916308
Llama 3 8B,Fp4 AWQ,GR-EN,Expanded_Omission_Risk,300,-0.003899516128638271,-0.006606508981967732,-0.000763400767430419
Llama 3 8B,Fp8,GR-EN,Hallucination_Risk,300,0.003123646147542545,0.0006298770932258357,0.005618862649502298
Llama 3 8B,Fp8,GR-EN,Omission_Risk,300,-0.0028049538140835625,-0.005073667085111601,-0.0005459139373344525
